catalog_name;stuff_name;stuff_url;descr;size;atr
Демисезонная одежда для охотников, рыболовов и туристов;КОСТЮМ «ТУРИСТ» ЧЕРНЫЙ С КРАСНЫМИ И СЕРЫМИ ОРНАМЕНТАМИ;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-turist-chernyj-s-krasnymi-i-serymi-ornamentami.html;"Материалы:  верх: Дьюспо (100% полиэстер)  подкладка: «Омнихит» (100% полиэстер), «Шёлк» (100% полиэстер)  утеплитель: синтепон, пл. 200 г/м² Костюм состоящий из куртки и брюк. Модель разработана для активного отдыха.  - куртка со съёмным капюшоном;  - воротник стойка;  - 5 прорезных карманов на молнии;  - рукав вточной с манжетом на резинке;  - регулировка объёма на капюшоне, по талии и низу куртки;  - застёжка молния с ветрозащитной планкой на пуговице;  - брюки на широком поясом с помочами;  - 2 прорезных кармана на молнии;  - подкладка в брюках и в куртке – омнихит. ";['48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань дюспо (100% полиэстер)   Подкладка омнихит (100% полиэстер), шёлк (100% полиэстер)   Утеплитель синтепон 200 г/м²   Цвет черный с красными и серыми орнаментами  
Демисезонная одежда для охотников, рыболовов и туристов;КОСТЮМ ОНЕГА ;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-onega.html;"Материалы:  Ткань: 100% полиэстер (финляндия)  Подкладка: термостёжка (100% полиэстер); шёлк-190 г/м2; синтепон-150 г/м2 Куртка из комбинированной ткани. Модель разработана для активного отдыха, охоты и рыбалки.  - куртка с капюшоном;  - воротник стойка;  - 2 объёмных кармана с молнией;  - 2 объёмных кармана с клапаном на пуговицах;  - рукав вточной с манжетом на резинке;  - регулировка объёма на капюшоне, по талии и низу куртки;  - застёжка молния с ветрозащитной планкой на пуговице; ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань 100% полиэстер (финляндия)   Подкладка термостёжка (100% полиэстер)   Цвет хаки  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ КОМБАТ КМФ ЛЕС;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-kombat-kmf-les.html;"Материалы:  Ткань: полофлис (100% полиэстер) Модель для активного отдыха, рыбалки и туризма.  - куртка на молнии;  - съёмный капюшон с регулировкой объёма;  - низ куртки на резинке;  - вточной рукав на манжете с резинкой;  - функциональный накладной карман на рукаве;  - объёмные функциональные карманы и карман листочка на куртке;  - брюки с резинкой на талии;  - регулировка объёма по низу брючины. ";['48-50 (5-6 рост)'];  Ткань полофлис (100% полиэстер)   Цвет кмф лес  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ СТРИЖ-2 КМФ ЛЕС;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-strizh-2-kmf-les.html;"Материалы:  Верх: Алова (100% полиэстер)  Подкладка: «Флис» (100% полиэстер) Куртка и брюки. Выполнен из непромокаемой ткани Алова и полуфлис.  - куртка с подкладкой из флиса;  - съёмный капюшон с регулировкой объёма на подкладке из флиса;  - куртка укороченная на резинке;  - застёжка молния с ветрозащитной планкой;  - 2 накладных кармана – папка на молнии;  - 2 накладных кармана с клапанами на клёпках;  - отложной воротник;  - брюки на резинке с прорезным карманом;  - подкладка брюк из флиса. ";['56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)', '64-66 (5-6 рост)', '68-70 (5-6 рост)'];  Ткань Алова (100% полиэстер)   Цвет кмф лес  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ ТАЙГА ХАКИ;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-tajga-haki.html;"Материалы:  Ткань: палатка (100% хлопок)  Подкладка: флис (100% полиэстер) Куртка и брюки. Выполнен из ткани палатка.  - куртка, удлинённая с застёжкой на пуговицах с капюшоном;  - рукав реглан с манжетом на резинке;  - 2 объёмных накладных кармана с клапаном на пуговицах;  - 2 прорезных кармана на молнии;  - регулировка объёма на талии и на капюшоне;  - брюки с резинкой на талии;  - 2 объёмных накладных кармана с клапаном на пуговицах;  - регулировка по низу брючины. ";['60-62 (5-6 рост)'];  Ткань палаточное полотно (100% хлопок)   Подкладка флис (100% полиэстер)   Цвет хаки  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ ЭЛЬБРУС КМФ ЛЕС;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-elbrus-kmf-les.html;"Материалы:  Верх: Алова (100% полиэстер)  Подкладка: «Бязь» ( 100% хлопок ) Куртка и брюки. Выполнен из непромокаемой ткани Алова.  - куртка на подкладке;  - съёмный капюшон с регулировкой объёма на подкладке;  - куртка укороченная на резинке;  - застёжка молния с обтачкой;  - воротник стойка;  - 2 объёмных кармана с клапаном на клёпке;  - 2 прорезных кармана с клапаном на клёпке;  - рукав на резинке;  - на левом рукаве прорезной карман на молнии;  - брюки на резинке с подкладкой;  - 2 прорезных кармана;  - 2 боковых объёмных кармана с клапаном на клёпке. ";['56-58 (3-4 рост)', '60-62 (5-6 рост)'];  Ткань алова (100% полиэстер)   Подкладка бязь (100% хлопок)   Цвет кмф лес  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ СТРИЖ АЛОВА;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-strizh-alova.html;"Материалы:  Верх: Алова (100% полиэстер)  Подкладка: Шелк(100% полиэстер)  Утеплитель: синтепон 200 г/м² Костюм выполнен из непромокаемой ткани алова, состоящий из куртки и брюк.  Разработан для охотников, рыболовов, для походов и активного отдыха.   - куртка укороченная с капюшоном, на молнии с ветрозащитной планкой;  - 2 прорезных кармана на молнии;  - 2 боковых кармана на молнии;  - рукав с манжетой на резинке  - брюки на широком поясе с резинкой;  - 2 прорезных кармана. ";['60-62 (5-6 рост)'];  Ткань алова (100% полиэстер)   Подкладка шёлк (100% полиэстер)   Утеплитель синтепон 200 г/м²   Цвет кмф  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ СТРИЖ ТАСЛАН ХАКИ;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-strizh-taslan-haki.html;"Материалы:  Ткань: алова (100% полиэстер)  Подкладка: шелк(100% полиэстер)  Утеплитель: синтепон 200 г/м² Костюм выполнен из непромокаемой ткани алова, состоящий из куртки и брюк.  Разработан для охотников, рыболовов, для походов и активного отдыха.   - куртка укороченная с капюшоном, на молнии с ветрозащитной планкой;  - 2 прорезных кармана на молнии;  - 2 боковых кармана на молнии;  - рукав с манжетой на резинке;  - брюки на широком поясе с резинкой;  - 2 прорезных кармана. ";['44-46 (3-4 рост)', '60-62 (5-6 рост)'];  Ткань таслан (100% полиэстер)   Подкладка шёлк (100% полиэстер)   Утеплитель синтепон 200 г/м²   Цвет хаки  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ ТУРИСТ АЛОВА;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-turist-alova.html;"Материалы:  Верх: Алова (100% полиэстер)  Подкладка: «Флис» (100% полиэстер) Модель для активного отдыха, рыбалки и туризма.  Костюм из комбинированной ткани алова, состоящий из куртки и брюк:  - куртка прямая с капюшоном;  - регулировка объёма на капюшоне и низу куртки;  - два боковых кармана на молнии;  - брюки с резинкой по талии;  - 2 прорезных кармана;  - низ брюк на резинке. ";['44-46 (3-4 рост)'];  Ткань алова (100% полиэстер)   Подкладка флис (100% полиэстер)   Цвет кмф  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ ФЛИСОВЫЙ СЕРЫЙ;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-flisovyj-seryj.html;"Материалы:  Ткань: «ФЛИС» (100% полиэстер) Универсальный комбинированный костюм из флиса со вставками из дьюспы стоит из куртки и брюк. Удобная и практичная модель для туризма и активного отдыха. Мягкий прочный костюм идеально подходит для отдыха на природе –в прохладный вечер или свежее утро.  - куртка воротник стойка;  - 3 прорезных кармана на молнии;  - регулировка по низу куртки;  - пояс и низ брюк на резинке;  - 2 прорезных кармана на молнии;  - трикотажные швы. ";['44-46 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (5-6 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань флис (100% полиэстер)   Цвет серый  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ ФЛИСОВЫЙ ТЁМНО-ЗЕЛЁНЫЙ;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-flisovyj-tyomno-zelyonyj.html;"Материалы:  Ткань: «ФЛИС» (100% полиэстер) Универсальный комбинированный костюм из флиса со вставками из дьюспы стоит из куртки и брюк. Удобная и практичная модель для туризма и активного отдыха. Мягкий прочный костюм идеально подходит для отдыха на природе –в прохладный вечер или свежее утро.  - куртка воротник стойка;  - 3 прорезных кармана на молнии;  - регулировка по низу куртки;  - пояс и низ брюк на резинке;  - 2 прорезных кармана на молнии;  - трикотажные швы. ";['44-46 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (5-6 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань флис (100% полиэстер)   Цвет тёмно-зелёный  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ ФЛИСОВЫЙ ЧЕРНЫЙ;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-flisovyj-chernyj.html;"Материалы:  Ткань: «ФЛИС» (100% полиэстер) Универсальный комбинированный костюм из флиса со вставками из дьюспы стоит из куртки и брюк. Удобная и практичная модель для туризма и активного отдыха. Мягкий прочный костюм идеально подходит для отдыха на природе –в прохладный вечер или свежее утро.  - куртка воротник стойка;  - 3 прорезных кармана на молнии;  - регулировка по низу куртки;  - пояс и низ брюк на резинке;  - 2 прорезных кармана на молнии;  - трикотажные швы. ";['48-50 (5-6 рост)', '52-54 (5-6 рост)'];  Ткань флис (100% полиэстер)   Цвет черный  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ БАРС КМФ 1;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-bars-kmf-1.html;"Ткань: 100% полиэстер (полофлис)   Костюм из комбинированной ткани, состоящий из куртки и полукомбинезона. Модель подходит для активного отдыха, охоты и рыбалки.  - куртка укороченная на резинке со съёмным капюшоном;  - воротник стойка;  - 2 прорезных кармана с клапаном на клепке;  - 2 прорезных кармана на молнии;  - рукав реглан с манжетом на резинке;  - застёжка молния с ветрозащитной планкой на клепках;  - полукомбинезон;  - 2 прорезных кармана;  - 2 объёмных боковых кармана с клапаном на пуговице. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань полофлис (100% полиэстер)   Цвет кмф лес  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ БАРС КМФ 2;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-bars-kmf-2.html;"Ткань: 100% полиэстер (полофлис)   Разработан для охотников, рыболовов, для походов и активного отдыха. Костюм выполнен в трех цветах.  - куртка укороченная на резинке, с капюшоном застёжка молния;  - рукав втачной на манжете;  - 2 прорезных кармана на молнии;  - 2 прорезных кармана с клапаном на клепке;  - полукомбинезон;  - 2 прорезных кармана;  - застежка молния. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань полофлис (100% полиэстер)   Цвет кмф лес  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ БАРС КМФ 3;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-bars-kmf-3.html;"Ткань: 100% полиэстер (полофлис) Разработан для охотников, рыболовов, для походов и активного отдыха. Костюм выполнен в трех цветах.  - куртка укороченная на резинке, с капюшоном застёжка молния;  - рукав втачной на манжете;  - 2 прорезных кармана на молнии;  - 2 прорезных кармана с клапаном на клепке;  - полукомбинезон;  - 2 прорезных кармана;  - застежка молния. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань полофлис (100% полиэстер)   Цвет кмф лес  
Костюмы демисезонные для охотников, рыболовов и туристов;КОСТЮМ ЕГЕРЬ-2 КМФ 1;https://ck-textil.ru/demisezonnaya-odezhda/kostyumy-2/kostyum-eger-2-kmf-1.html;"Материалы:  Ткань: полофлис (100% полиэстер)   Разработан для охотников, рыболовов, для походов и активного отдыха. Костюм выполнен в двух цветах.  - куртка с капюшоном застёжка молния;  - рукав втачной с налокотником и объёмным карманом с клапаном на липучке;  - прорезной карман на молнии;  - прорезной карман с клапаном на пуговице;  - регулировка объёма: на капюшоне, по талии и низу куртки и рукаву;  - на куртке имеется потайной карман;  - подкладка термостёжка;  - брюки с усилением на коленях;  - резинка по талии и низу брюк;  - 2 объёмных кармана на пуговицах по бокам;  - 2 накладных кармана на пуговицах сзади;  - 2 ленинградских кармана;  - помочи. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)', '64-66 (5-6 рост)', '68-70 (5-6 рост)'];  Ткань полофлис (100% полиэстер)   Цвет кмф лес  
