Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 50)	Красный	С рисунком картинкой принтом печатью	Страны	Англия Италия Франция	8 марта; День рождения; 14 февраля	Женский; для девушки; сестре
(Принт 51)	Серый	С рисунком картинкой принтом печатью	Сова	Мультик	День рождения; 14 февраля; 8 марта	Парню девушке; Сетре брату; Маме папе
(Принт 52)	Синий	С рисунком картинкой принтом печатью	Волк	Ловец снов 	День рождения; 14 февраля; 8 марта	Парню девушке; Сетре брату; Маме папе
(Принт 53)	Синий	С рисунком картинкой принтом печатью	Страны	Путешествия 	День рождения; 8 марта; 14 февраля	Мужской; женский; для парня для девушки
(Принт 56)	Коричневый	С рисунком картинкой принтом печатью	Ловец снов	Dream	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 57)	Леопардовый	С рисунком картинкой принтом печатью	Тигр	Джунгли Животные	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 58)	Черный	С рисунком картинкой принтом печатью	Кролики	Rabbit	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 59)	Бежевый	С рисунком картинкой принтом печатью	Девушка в платье	Girl	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 60)	Бежевый	С рисунком картинкой принтом печатью	Мэрилин Монро	Monro	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 61)	Фиолетовый	С рисунком картинкой принтом печатью	Бабочки	В неоне	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 62)	Фиолетовый	С рисунком картинкой принтом печатью	Цветы	В неоне	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 63)	Зеленый	С рисунком картинкой принтом печатью	Кошки в траве	Cats	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 64)	Зеленый	С рисунком картинкой принтом печатью	Котенок с одуванчиком	Котенок в траве	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 65)	Леопардовый	С рисунком картинкой принтом печатью	Леопарды	Джунгли 	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 66)	Серый	С рисунком картинкой принтом печатью	Леопард	Природа	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 67)	Серый	С рисунком картинкой принтом печатью	Леопард	Хищник	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 68)	Серый	С рисунком картинкой принтом печатью	Мозаика	Узоры	День рождения; 8 марта; 14 февраля	Парню девушке; Сетре брату; Маме папе
(Принт 69)	Черный	С рисунком картинкой принтом печатью	Кубы	3Д	День рождения; 8 марта; 14 февраля	Парню девушке; Сетре брату; Маме папе
(Принт 70)	Черный	С рисунком картинкой принтом печатью	Абстракция	Краски	День рождения; 8 марта; 14 февраля	Парню девушке; Сетре брату; Маме папе
(Принт 71)	Фиолетовый	С рисунком картинкой принтом печатью	Черепа	С цветами	День рождения; 8 марта; 14 февраля	Парню девушке; Сетре брату; Маме папе
(Принт 72)	Оранжевый	С рисунком картинкой принтом печатью	Цвета	Colors	День рождения; 8 марта; 14 февраля	Парню девушке; Сетре брату; Маме папе
(Принт 73)	Лавандовый	С рисунком картинкой принтом печатью	Лев с бабочкой	Природа	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 74)	Оранжевый	С рисунком картинкой принтом печатью	Огонь	Вода	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 75)	Красный	С рисунком картинкой принтом печатью	Роза	Цветок	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 76)	Красный	С рисунком картинкой принтом печатью	Розы	Букет	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 77)	Красный	С рисунком картинкой принтом печатью	Роза	Rose	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 78)	Красный	С рисунком картинкой принтом печатью	Цвета	Colors	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 79)	Голубой	С рисунком картинкой принтом печатью	Море	Закат	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 80)	Синий	С рисунком картинкой принтом печатью	Океан	Черепаха	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 81)	Розовый	С рисунком картинкой принтом печатью	Сердца	Hearts	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 82)	Фиолетовый	С рисунком картинкой принтом печатью	Поле	Дерево	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 83)	Лавандовый	С рисунком картинкой принтом печатью	Птица Весна	На ветке	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 85)	Розовый	С рисунком картинкой принтом печатью	Цветы	Букет роз	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 86)	Бирюзовый	С рисунком картинкой принтом печатью	Розы	Красные	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 87)	Желтый	С рисунком картинкой принтом печатью	Пирожные	Десерт	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 88)	Синий	С рисунком картинкой принтом печатью	Блики	Lights	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 90)	Фиолетовый	С рисунком картинкой принтом печатью	Краски	Colorful	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 91)	Голубой	С рисунком картинкой принтом печатью	Побережье Город	Море	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 92)	Зеленый	С рисунком картинкой принтом печатью	Квадраты	Lights	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 93)	Желтый	С рисунком картинкой принтом печатью	Забор	Colorful	8 марта; День рождения; 1 сентября	Детский; для дочери; для сестры
(Принт 94)	Оранжевый	С рисунком картинкой принтом печатью	Туман	Краски	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 95)	Желтый	С рисунком картинкой принтом печатью	Конфеты	Десерты	8 марта; День рождения; 1 сентября	Детский; для дочери; для сестры
(Принт 96)	Фиолетовый	С рисунком картинкой принтом печатью	Яркие краски	Colors	8 марта; День рождения; 1 сентября	Детский; для дочери; для сестры
(Принт 98)	Оранжевый	С рисунком картинкой принтом печатью	Яркие краски	Colors	8 марта; День рождения; 1 сентября	Детский; для дочери; для сестры
(Принт 99)	Серый	С рисунком картинкой принтом печатью	Мрамор	Текстура камня	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 100)	Серый	С рисунком картинкой принтом печатью	Мрамор	Текстура камня	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 101)	Синий	С рисунком картинкой принтом печатью	Мрамор	Текстура камня	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 102)	Бирюзовый	С рисунком картинкой принтом печатью	Resin Art	Арт	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 103)	Фиолетовый	С рисунком картинкой принтом печатью	Мрамор	Текстура камня	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 105)	Синий	С рисунком картинкой принтом печатью	Мрамор	Текстура камня	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 106)	Белый	С рисунком картинкой принтом печатью	Женщина 	Девушка с татуировками	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 107)	Золотистый	С рисунком картинкой принтом печатью	Мрамор	Золото	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 108)	Оранжевый	С рисунком картинкой принтом печатью	Яркие краски	Colors	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
