Brand;Model;Size
teXet;teXet TB-106;6
teXet;teXet TB-306;6
teXet;teXet TB-500HD;5
Treelogic;Treelogic Arcus 706 Touch;7
Treelogic;Treelogic Arcus 707WL Touch;7
Treelogic;Treelogic Arcus 501;5
Treelogic;Treelogic Arcus 701;7
Treelogic;Treelogic Arcus 702;7
Treelogic;Treelogic Arcus 703 Touch;7
Treelogic;Treelogic Arcus 704 Touch;7
Treelogic;Treelogic Arcus 705 Touch;7
Treelogic;Treelogic Lecto;6
Treelogic;Treelogic Lecto 501;5
Treelogic;Treelogic Lecto 601;6
Treelogic;Treelogic E-BOOK Q6;6
ViewSonic;ViewSonic VEB620;None
ViewSonic;ViewSonic VEB625;None
ViewSonic;ViewSonic VEB612;None
Wexler;Wexler.Book E6007;6
Wexler;Wexler.Book E6003;6
Wexler;Wexler.Book E6005;6
Wexler;Wexler.Book T7004;None
Wexler;Wexler.Book T7007;7
Wexler;Wexler.Book T7008;7
Wexler;Wexler.Book T7011;7
Wexler;Wexler.Book T7033;7
Wexler;Wexler.Book T7044;7
Wexler;Wexler.Book T7055;7
Wexler;Wexler.Book T7204;7
Wexler;Wexler.Book T7205;7
Wexler;Wexler.Book T7206;7
Wexler;Wexler.Book E6002;6
Wexler;Wexler.Book E7001;7.1
Wexler;Wexler.Book T5001;5
Wexler;Wexler.Book T5002;5
Wexler;Wexler.Book T7002;7
Wexler;Wexler.Book T7003;7
Wexler;Wexler.Book T7005;None
Wexler;Wexler.Book T7006;7
Wexler;Wexler.Book T7022;7
Wexler;Wexler.Flex ONE;"6"" Форматы: ОС:Linux Память:ROM 8 ГБ"
Wexler;Wexler.Book E5001;5
Wexler;Wexler.Book E6001;6
Wexler;Wexler.Book T7001;None
xDevice;xDevice xBook Достоевский;7
xDevice;xDevice xBook Леонардо да Винчи;7
xDevice;xDevice xBook Лермонтов;5
xDevice;xDevice xBook Толстой;7
xDevice;xDevice xBook Тургенев;7
xDevice;xDevice xBook Пушкин;7
Азбука;Азбука N618;6
Азбука;Азбука N516;None
Буквоед;Буквоед i-Ведъ;6
ЛитРес;LitRes: touch;6
От А до Я;От А до Я Pocketbook AZ101;None
