PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
158;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 158 (Assassins Creed);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 158 (Assassins Creed).jpg;Игры;00-00016887;00-00038357
486;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 486 (Bad Girl);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 486 (Bad Girl).jpg;Девушки;00-00016887;00-00038357
880;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 880 (Batman арт);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 880 (Batman арт).jpg;Фильмы, сериалы, комиксы;00-00016887;00-00038357
860;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 860 (BMW M Series);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 860 (BMW M Series).jpg;Мода, тренды, логотипы, бренды;00-00016887;00-00038357
886;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 886 (Brawl Stars логотип);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 886 (Brawl Stars логотип).jpg;Игры;00-00016887;00-00038357
551;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 551 (Brawl Stars персонажи);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 551 (Brawl Stars персонажи).jpg;Игры;00-00016887;00-00038357
430;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 430 (Brawl Stars);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 430 (Brawl Stars).jpg;Игры;00-00016887;00-00038357
078;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 078 (Chanel номер 5);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 078 (Chanel номер 5).jpg;Мода, тренды, логотипы, бренды;00-00016887;00-00038357
764;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 764 (Coca Cola);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 764 (Coca Cola).jpg;Мода, тренды, логотипы, бренды;00-00016887;00-00038357
506;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 506 (CS GO Squad);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 506 (CS GO Squad).jpg;Игры;00-00016887;00-00038357
439;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 439 (CS GO арт);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 439 (CS GO арт).jpg;Игры;00-00016887;00-00038357
659;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 659 (CS GO инь янь);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 659 (CS GO инь янь).jpg;Игры;00-00016887;00-00038357
371;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 371 (DC Heroes);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 371 (DC Heroes).jpg;Фильмы, сериалы, комиксы;00-00016887;00-00038357
097;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 097 (Fortnite арт);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 097 (Fortnite арт).jpg;Игры;00-00016887;00-00038357
093;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 093 (Fortnite);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 093 (Fortnite).jpg;Игры;00-00016887;00-00038357
135;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 135 (Frida Del Rey);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 135 (Frida Del Rey).jpg;Девушки;00-00016887;00-00038357
275;Чехол для BQ Aquaris X5 Plus силикон черный матовый Принт 275 (GTA 5);/upload/products_pictures/silicone/BQ Aquaris X5 Plus/mate/black/Принт 275 (GTA 5).jpg;Игры;00-00016887;00-00038357
