PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
353;Чехол для Meizu M3 Max силикон черный матовый Принт 353 (Флаг России горизонтальный);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 353 (Флаг России горизонтальный).jpg;Города, страны, гербы;СН-00015958;00-00038357
867;Чехол для Meizu M3 Max силикон черный матовый Принт 867 (Флаг США);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 867 (Флаг США).jpg;Города, страны, гербы;СН-00015958;00-00038357
399;Чехол для Meizu M3 Max силикон черный матовый Принт 399 (Фредди Меркьюри Арт);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 399 (Фредди Меркьюри Арт).jpg;Арты;СН-00015958;00-00038357
681;Чехол для Meizu M3 Max силикон черный матовый Принт 681 (Хабиб Нурмагомедов арт);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 681 (Хабиб Нурмагомедов арт).jpg;Спорт;СН-00015958;00-00038357
689;Чехол для Meizu M3 Max силикон черный матовый Принт 689 (Хабиб Нурмагомедов);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 689 (Хабиб Нурмагомедов).jpg;Спорт;СН-00015958;00-00038357
124;Чехол для Meizu M3 Max силикон черный матовый Принт 124 (Харлей Дэвидсон арт);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 124 (Харлей Дэвидсон арт).jpg;Спорт;СН-00015958;00-00038357
887;Чехол для Meizu M3 Max силикон черный матовый Принт 887 (Харли Квин и Дедпул);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 887 (Харли Квин и Дедпул).jpg;Фильмы, сериалы, комиксы;СН-00015958;00-00038357
988;Чехол для Meizu M3 Max силикон черный матовый Принт 988 (Харли Квин мульт);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 988 (Харли Квин мульт).jpg;Фильмы, сериалы, комиксы;СН-00015958;00-00038357
107;Чехол для Meizu M3 Max силикон черный матовый Принт 107 (Харли Квин);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 107 (Харли Квин).jpg;Фильмы, сериалы, комиксы;СН-00015958;00-00038357
730;Чехол для Meizu M3 Max силикон черный матовый Принт 730 (Хаски);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 730 (Хаски).jpg;Животные;СН-00015958;00-00038357
708;Чехол для Meizu M3 Max силикон черный матовый Принт 708 (Хищник арт);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 708 (Хищник арт).jpg;Фильмы, сериалы, комиксы;СН-00015958;00-00038357
140;Чехол для Meizu M3 Max силикон черный матовый Принт 140 (Хищник);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 140 (Хищник).jpg;Фильмы, сериалы, комиксы;СН-00015958;00-00038357
963;Чехол для Meizu M3 Max силикон черный матовый Принт 963 (ХК Бостон Брюинз логотип);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 963 (ХК Бостон Брюинз логотип).jpg;Спорт;СН-00015958;00-00038357
492;Чехол для Meizu M3 Max силикон черный матовый Принт 492 (ХК Витязь логотип);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 492 (ХК Витязь логотип).jpg;Спорт;СН-00015958;00-00038357
209;Чехол для Meizu M3 Max силикон черный матовый Принт 209 (ХК Детройт Ред Уингз логотип);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 209 (ХК Детройт Ред Уингз логотип).jpg;Спорт;СН-00015958;00-00038357
788;Чехол для Meizu M3 Max силикон черный матовый Принт 788 (ХК Динамо Минск логотип);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 788 (ХК Динамо Минск логотип).jpg;Спорт;СН-00015958;00-00038357
426;Чехол для Meizu M3 Max силикон черный матовый Принт 426 (ХК Динамо Москва логотип);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 426 (ХК Динамо Москва логотип).jpg;Спорт;СН-00015958;00-00038357
948;Чехол для Meizu M3 Max силикон черный матовый Принт 948 (ХК Локомотив логотип);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 948 (ХК Локомотив логотип).jpg;Спорт;СН-00015958;00-00038357
641;Чехол для Meizu M3 Max силикон черный матовый Принт 641 (ХК Монреаль Канадиенс логотип);/upload/products_pictures/silicone/Meizu M3 Max/mate/black/Принт 641 (ХК Монреаль Канадиенс логотип).jpg;Спорт;СН-00015958;00-00038357
