PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
880;Чехол для OPPO F7 силикон прозрачный  Принт 880 (Batman арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 880 (Batman арт).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
860;Чехол для OPPO F7 силикон прозрачный  Принт 860 (BMW M Series);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 860 (BMW M Series).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
886;Чехол для OPPO F7 силикон прозрачный  Принт 886 (Brawl Stars логотип);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 886 (Brawl Stars логотип).jpg;Игры;00-00011954;00-00038357
551;Чехол для OPPO F7 силикон прозрачный  Принт 551 (Brawl Stars персонажи);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 551 (Brawl Stars персонажи).jpg;Игры;00-00011954;00-00038357
430;Чехол для OPPO F7 силикон прозрачный  Принт 430 (Brawl Stars);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 430 (Brawl Stars).jpg;Игры;00-00011954;00-00038357
078;Чехол для OPPO F7 силикон прозрачный  Принт 078 (Chanel номер 5);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 078 (Chanel номер 5).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
764;Чехол для OPPO F7 силикон прозрачный  Принт 764 (Coca Cola);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 764 (Coca Cola).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
506;Чехол для OPPO F7 силикон прозрачный  Принт 506 (CS GO Squad);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 506 (CS GO Squad).jpg;Игры;00-00011954;00-00038357
439;Чехол для OPPO F7 силикон прозрачный  Принт 439 (CS GO арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 439 (CS GO арт).jpg;Игры;00-00011954;00-00038357
659;Чехол для OPPO F7 силикон прозрачный  Принт 659 (CS GO инь янь);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 659 (CS GO инь янь).jpg;Игры;00-00011954;00-00038357
371;Чехол для OPPO F7 силикон прозрачный  Принт 371 (DC Heroes);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 371 (DC Heroes).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
097;Чехол для OPPO F7 силикон прозрачный  Принт 097 (Fortnite арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 097 (Fortnite арт).jpg;Игры;00-00011954;00-00038357
093;Чехол для OPPO F7 силикон прозрачный  Принт 093 (Fortnite);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 093 (Fortnite).jpg;Игры;00-00011954;00-00038357
135;Чехол для OPPO F7 силикон прозрачный  Принт 135 (Frida Del Rey);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 135 (Frida Del Rey).jpg;Девушки;00-00011954;00-00038357
275;Чехол для OPPO F7 силикон прозрачный  Принт 275 (GTA 5);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 275 (GTA 5).jpg;Игры;00-00011954;00-00038357
720;Чехол для OPPO F7 силикон прозрачный  Принт 720 (IronMan);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 720 (IronMan).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
391;Чехол для OPPO F7 силикон прозрачный  Принт 391 (Jack Daniels);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 391 (Jack Daniels).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
710;Чехол для OPPO F7 силикон прозрачный  Принт 710 (Likee);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 710 (Likee).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
077;Чехол для OPPO F7 силикон прозрачный  Принт 077 (Louis Vuitton Узор);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 077 (Louis Vuitton Узор).jpg;Мода, тренды, логотипы, бренды;00-00011954;00-00038357
165;Чехол для OPPO F7 силикон прозрачный  Принт 165 (Love Kiss);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 165 (Love Kiss).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
